Id text,Sampled date,Meetpunt,Status,ZICHT,T,KLEUR,GEUR,VUIL,pH,SENSHTE,SCHUIM,OLE,E,GELDHD,SALNTT,O2,%O2,WINDSHD,WINDRTG,LUCHTDK,Cl,SO4,NO2 N,NO3 N,NH4 N,PO4 P,DOC,Sili
,,,sample,714VP001,714VP002,714VP003,714VP004,714VP007,714VP008,714VP009,714VP017,714VP018,714VP019,714VP023,714VP024,714VP037,714VP038,714VP303,714VP304,714VP306,,114MB412,114MB101,114MB116,114MB102,114MB103,114MB049,114MB104
,,,,DIMSLS,°C,DIMSLS,DIMSLS,DIMSLS,DIMSLS,cm,DIMSLS,DIMSLS,/m,mS,DIMSLS,mS,DIMSLS,m/s,gradn,hPa,mg/L,mg/L,mg/L,mg/L,mg/L,ug/l,mg/L,mg/L
2018005635,18-4-2018 17:48,GOERE6,Authorised,-999,8.26,0,0,0,8.58,-350,0,0,-999,#N/B,30.8,11.45,124.6,7.6,28,1027.3,18409.6641,2429.4651,0.0037,0.3087,0.0189,6.7,2.322,0.0462
2018005636,16-5-2018 13:59,GOERE6,Authorised,-999,12.16,-999,-999,-999,8.26,-350,-999,-999,-999,#N/B,29.79,8.09,91.06,5,10,1031,17100.6172,2438.1267,0.0024,0.1775,0.0309,5.5,1.8732,0.099
2018005637,11-6-2018 13:10,GOERE6,Authorised,-999,15,0,0,0,8.05,-350,0,0,-999,#N/B,30.18,7.54,90.53,2,60,1015,17441.4648,2365.8613,0.0035,0.0672,0.0479,5.2,1.9388,0.1315
2018005638,19-7-2018 9:11,GOERE6,Authorised,-999,19.97,0,0,0,8.2,-350,0,0,-999,#N/B,29.8,4.48,58.75,4.5,135,1018.4,16192.2334,2333.9663,0.0065,0.0108,0.072,13.9,1.7298,0.1529
2018005639,16-8-2018 17:07,GOERE6,Authorised,-999,20.33,0,0,0,8.15,-350,0,0,-999,#N/B,30.76,6.86,89,6,187,1013.5,16148.1416,2502.0376,0.0091,0.0226,0.1029,25.7,1.7404,0.3609
2018005640,12-9-2018 15:39,GOERE6,Authorised,-999,18.56,0,0,0,8.79,-350,0,0,-999,#N/B,30.66,5.65,72.53,6.8,4,1021.5,15244.3359,1855.1555,0.0059,0.0516,0.0818,24.3,1.6521,0.2864
2018005641,17-10-2018 14:54,GOERE6,Authorised,-999,16.51,0,0,0,9.26,-350,0,0,-999,#N/B,31.31,5.54,68.64,6.2,268,1018.4,19382.4063,2599.4272,0.0028,0.0219,0.0143,7,0.6087,0.0849
2018005642,12-11-2018 15:36,GOERE6,Authorised,-999,11.51,0,0,0,8.04,-350,0,0,-999,#N/B,31.45,7.04,87.9,7.2,202,1012.1,10278.1582,1898.2122,0.0064,0.0762,0.1187,17.8,1.2855,0.2486
2018005643,10-12-2018 19:21,GOERE6,Authorised,-999,8.29,0,0,0,7.81,-350,0,0,-999,#N/B,32.25,8.78,92.07,21.1,287,1023.7,18323.6094,2603.6348,0.0078,0.1428,0.1294,19.7,1.353,0.2762
2018005644,22-1-2018 13:29,NOORDWK2,Authorised,#N/B,5.62,0,0,0,7.94,-350,0,0,-999,#N/B,25.63,8.84,83.48,6.9,293,1007,14983.3965,2041.9429,0.0108,0.9463,0.1065,31.3,1.8678,1.1062
2018005645,14-2-2018 14:02,NOORDWK2,Authorised,-999,5.42,0,0,0,8.07,-350,0,0,1.0929,#N/B,27.19,9.49,90.03,14,200,1012,15113.1533,2173.2866,0.011,0.7948,0.0516,26,1.3618,0.8773
2018005646,14-3-2018 9:00,NOORDWK2,Authorised,#N/B,4.9,0,0,0,7.62,-350,0,0,0.9489,#N/B,28.43,10.37,97.99,4.4,224,1010.7,16432.4629,2291.7729,0.0086,0.5843,0.1201,3.6,1.2167,0.3923
2018005647,16-4-2018 13:00,NOORDWK2,Authorised,#N/B,8.11,0,0,0,8.14,-350,0,0,-999,#N/B,28.25,10.07,105.2,9.8,272,1015.1,16947.4453,2292.7979,0.0052,0.6032,0.0186,5.3,1.4202,0.2007
2018005648,14-5-2018 13:12,NOORDWK2,Authorised,-999,12.19,-999,-999,-999,8.26,-350,-999,-999,-999,#N/B,30,9.79,110,3,360,1025,17511.3184,2484.5205,0.005,0.1646,0.0232,6.9,1.5734,0.1076
2018005649,12-6-2018 1:52,NOORDWK2,Authorised,#N/B,16.3,-999,-999,-999,8.25,-350,-999,-999,-999,#N/B,30.21,8.76,107.4,6,60,1012,17317.8809,2469.9036,0.0037,0.0224,0.0123,3.7,1.782,0.033
2018005650,16-7-2018 13:23,NOORDWK2,Authorised,#N/B,19.56,0,0,0,8.1,-350,0,0,-999,#N/B,30.5,5.87,79.07,1,2,1012.6,17139.6172,2395.7954,0.0079,0.0191,0.0504,4.9,2.3578,0.0489
2018005651,16-8-2018 13:02,NOORDWK2,Authorised,-999,20.28,0,0,0,8.1,-350,0,0,-999,#N/B,30.07,5.82,77,6,185,1013.3,16975.4785,2460.0767,0.0078,0.0421,0.1473,25.7,1.5531,0.5329
2018005652,10-9-2018 14:00,NOORDWK2,Authorised,#N/B,18.35,0,0,0,8.72,-350,0,0,-999,#N/B,27.83,6.04,75.28,4,330,1020.1,13748.6494,1580.1868,0.0055,0.0582,0.0447,20,1.426,0.2375
