Id text,Sampled date,Meetpunt,Status,ZICHT,T,KLEUR,GEUR,VUIL,pH,SENSHTE,SCHUIM,OLE,E,GELDHD,SALNT,O2,%O2,WINDSHD,WINDRTG,LUCHTDK
2018005671,16-4-2018 16:59,NOORDWK20,Available,#N/B,7.35,0,0,0,8.18,-350,0,0,-999,#N/B,31.8,10.2,112,5.9,220,1020
2018005672,14-5-2018 14:16,NOORDWK20,Available,#N/B,11.4,-999,-999,-999,8.28,-350,-999,-999,-999,#N/B,31.6,9.86,110,5,360,1030
2018005673,11-6-2018 0:00,NOORDWK20,Unavailable,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B
2018005674,16-7-2018 0:00,NOORDWK20,Unavailable,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B
2018005675,13-8-2018 0:00,NOORDWK20,Unavailable,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B
2018005676,10-9-2018 0:00,NOORDWK20,Unavailable,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B
2018005677,15-10-2018 0:00,NOORDWK20,Unavailable,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B
2018005678,12-11-2018 0:00,NOORDWK20,Unavailable,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B
2018005679,10-12-2018 0:00,NOORDWK20,Unavailable,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B
2018005680,22-1-2018 18:54,NOORDWK70,Available,#N/B,7.33,0,0,0,8.03,-350,0,0,-999,#N/B,35.2,8.77,91.8,11.6,291,1010
2018005681,14-2-2018 8:03,NOORDWK70,Available,#N/B,6.81,0,0,0,8.07,-350,0,0,-999,#N/B,35.3,8.83,91.3,14.2,140,1010
2018005682,14-3-2018 14:25,NOORDWK70,Available,#N/B,5.96,0,0,0,7.27,-350,0,0,0.266,#N/B,35.3,9.79,99.3,4.8,94,1010
2018005683,16-4-2018 19:39,NOORDWK70,Available,#N/B,7.64,0,0,0,8.24,-350,0,0,-999,#N/B,34.8,10.2,113,9.4,154,1020
2018005684,14-5-2018 14:16,NOORDWK70,Available,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B
2018005685,11-6-2018 0:00,NOORDWK70,Unavailable,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B
2018005686,16-7-2018 0:00,NOORDWK70,Unavailable,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B
2018005687,13-8-2018 0:00,NOORDWK70,Unavailable,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B
2018005688,10-9-2018 0:00,NOORDWK70,Unavailable,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B
